shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1_6,45.4536719903492,-73.6417387653488,20
1_6,45.4737620423281,-73.6030995911778,21
1_6,45.4752401376654,-73.6004674928162,22
1_6,45.4789352670017,-73.5936947784585,23
1_6,45.4867731962734,-73.5816185093149,24
1_6,45.4895385185912,-73.5776053454072,25
1_6,45.4947620353203,-73.570805750666,26
1_7,45.4947620353203,-73.570805750666,1
1_7,45.4895385185912,-73.5776053454072,2
1_7,45.4867731962734,-73.5816185093149,3
1_7,45.4789352670017,-73.5936947784585,4
1_7,45.4752401376654,-73.6004674928162,5
1_7,45.4737620423281,-73.6030995911778,6
1_7,45.4536719903492,-73.6417387653488,7
1_7,45.4518679260335,-73.6452117600281,8
1_7,45.4508920318681,-73.6483670905082,9
1_7,45.4510226262196,-73.6517042619738,10
1_7,45.4530791938149,-73.6675123451849,11
1_7,45.4530383149763,-73.6708108164136,12
1_7,45.4497758736829,-73.6910004856016,13
1_7,45.4486231578361,-73.7070152529351,14
1_7,45.4486782577965,-73.7113237489741,15
1_7,45.4491999376701,-73.7431076525197,16
1_7,45.4495938997837,-73.7642548484703,17
1_7,45.4499407936433,-73.7882530550694,18
1_7,45.4497451835371,-73.7908728809287,19
1_7,45.4494688562197,-73.7933644257034,20
1_7,45.4486558862315,-73.7980392478731,21
1_7,45.4472468978668,-73.8034394320935,22
1_7,45.4437147127574,-73.8151681984421,23
1_7,45.442414831553,-73.8198778299671,24
1_7,45.4404595797778,-73.8271399679248,25
1_7,45.4349736654937,-73.847391976023,26
1_7,45.4316673516423,-73.8602543525269,27
1_7,45.4273946742413,-73.8872557173005,28
1_7,45.4255846592172,-73.8981055300739,29
1_7,45.4244980918277,-73.9025960306329,30
1_7,45.4199073950824,-73.9155583909618,31
1_7,45.4162254785036,-73.9257401551353,32
1_7,45.4090312947779,-73.9457433463724,33
1_7,45.4076060412765,-73.9512126079595,34
1_7,45.4067075732295,-73.9531344480273,35
1_7,45.4057484751933,-73.9544553355197,36
1_7,45.401727690001,-73.9585617668454,37
1_7,45.3980041662096,-73.9625550884482,38
1_7,45.3959228309534,-73.9654246607855,39
1_7,45.3934686146473,-73.9692360571231,40
1_7,45.3909258680365,-73.9748343586701,41
1_7,45.3890116539696,-73.980692899987,42
1_7,45.3880034867826,-73.9850263505148,43
1_7,45.3873250808923,-73.9900648658634,44
1_7,45.3870348178136,-73.9947746199046,45
1_7,45.3863907208218,-74.0082543463005,46
1_7,45.3857978287874,-74.0200230471652,47
1_7,45.3861752577178,-74.0221080447962,48
1_7,45.3989996709264,-74.0505567791293,49
1_7,45.4010119944999,-74.0549704104298,50
1_7,45.4020746339531,-74.0566541753615,51
1_7,45.4090485395032,-74.0639918320249,52
1_7,45.4120381968964,-74.0726070567309,53
1_7,45.4130367490679,-74.0744569234489,54
1_7,45.424333344938,-74.0861873876114,55
1_7,45.4283481751877,-74.0893983030334,56
1_7,45.4341300362245,-74.0954144247388,57
1_7,45.4374240883096,-74.1004595039184,58
1_7,45.4402539275354,-74.1064588840006,59
1_7,45.4462575417196,-74.1195753907624,60
1_7,45.4525447041893,-74.1283253408565,61
1_7,45.4596284611522,-74.1409350240092,62
1_8,45.3989996709264,-74.0505567791293,1
1_8,45.3861752577178,-74.0221080447962,2
1_8,45.3857978287874,-74.0200230471652,3
1_8,45.3863907208218,-74.0082543463005,4
1_8,45.3870348178136,-73.9947746199046,5
1_8,45.3873250808923,-73.9900648658634,6
1_8,45.3880034867826,-73.9850263505148,7
1_8,45.3890116539696,-73.980692899987,8
1_8,45.3909258680365,-73.9748343586701,9
1_8,45.3934686146473,-73.9692360571231,10
